[2023-12-25 12:08:24,081: INFO: main: Welcome to the new world of logging]
[2023-12-25 14:42:01,592: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-25 14:42:01,605: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-25 14:42:01,607: INFO: common: created directory at: artifacts]
[2023-12-25 14:42:01,609: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-25 14:42:01,613: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-25 14:42:11,472: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-25 15:57:51,702: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-25 15:57:51,704: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-25 15:57:51,707: INFO: common: created directory at: artifacts]
[2023-12-25 15:57:51,708: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-12-25 15:59:15,583: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-25 15:59:15,586: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-25 15:59:15,587: INFO: common: created directory at: artifacts]
[2023-12-25 15:59:15,589: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-12-25 16:00:11,775: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-25 16:00:11,777: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-25 16:00:11,779: INFO: common: created directory at: artifacts]
[2023-12-25 16:00:11,780: INFO: common: created directory at: artifacts/prepare_base_model]
